seq_len,learning_rate,hidden_size,num_layers,dropout,batch_size,epochs,weight_decay,patience,cv_score,tune_metric
15,0.0001,64,1,0.1,32,20,0.0001,5,0.5448028673835125,da
30,0.0005,32,1,0.0,32,50,1e-05,5,0.5352449223416965,da
30,0.0001,128,2,0.0,32,35,0.0001,5,0.5328554360812425,da
30,0.0005,64,2,0.1,64,50,1e-05,5,0.5328554360812425,da
10,0.001,128,2,0.0,64,35,0.0,5,0.5328554360812425,da
10,0.0001,64,2,0.2,32,35,0.0,5,0.5292712066905615,da
25,0.001,64,2,0.3,32,50,0.0,5,0.5244922341696535,da
20,0.0005,64,1,0.1,64,50,0.0001,5,0.5209080047789726,da
20,0.001,32,1,0.3,64,20,0.0001,5,0.5197132616487455,da
20,0.001,32,2,0.1,32,20,0.0,5,0.5197132616487455,da
10,0.0001,32,2,0.2,32,50,0.0001,5,0.5185185185185185,da
15,0.0005,64,1,0.2,64,20,0.0001,5,0.5185185185185185,da
25,0.001,64,1,0.1,64,20,0.0001,5,0.5161290322580645,da
25,0.001,32,2,0.2,64,35,1e-05,5,0.5149342891278375,da
20,0.0001,64,2,0.2,32,35,1e-05,5,0.5125448028673835,da
15,0.0005,64,1,0.2,32,35,0.0,5,0.5113500597371564,da
25,0.001,128,1,0.3,64,20,1e-05,5,0.48984468339307047,da
10,0.001,64,1,0.1,32,50,1e-05,5,0.4886499402628435,da
