asset,model_type,val_mse,val_mae,val_da,test_mse,test_mae,test_da,hp_seq_len,hp_learning_rate,hp_hidden_size,hp_num_layers,hp_dropout,hp_batch_size,hp_epochs,hp_weight_decay,hp_patience
ADAUSDT,baseline,0.018365362659096718,0.0978103056550026,0.479108635097493,0.01712825335562229,0.1018102616071701,0.5670391061452514,20,0.0001,64,1,0.2,32,50,0.0,5
ADAUSDT,regime,0.018628045916557312,0.09763181954622269,0.5041782729805014,0.017849043011665344,0.10123077780008316,0.6033519553072626,15,0.0005,32,2,0.3,32,20,0.0,5
BCHUSDT,baseline,0.018606748431921005,0.10057082772254944,0.5013927576601671,0.010499412193894386,0.08369768410921097,0.46089385474860334,10,0.0005,32,1,0.3,32,20,0.0001,5
BCHUSDT,regime,0.01785866916179657,0.09818093478679657,0.5236768802228412,0.007592173293232918,0.06925706565380096,0.4776536312849162,10,0.0005,32,1,0.0,32,20,0.0001,5
BNBUSDT,baseline,0.014602108858525753,0.10290206223726273,0.5013927576601671,0.004541576839983463,0.04945705831050873,0.553072625698324,25,5e-05,128,2,0.1,64,50,0.0,5
BNBUSDT,regime,0.01391327939927578,0.09944409877061844,0.5236768802228412,0.006232637912034988,0.055912986397743225,0.5837988826815642,10,5e-05,64,2,0.1,32,35,0.0001,5
BTCUSDT,baseline,0.007603090722113848,0.06782915443181992,0.45125348189415043,0.0028342674486339092,0.040815405547618866,0.48324022346368717,10,5e-05,32,2,0.3,32,20,0.0001,5
BTCUSDT,regime,0.017410269007086754,0.10631219297647476,0.4623955431754875,0.005683154333382845,0.06234154477715492,0.4972067039106145,25,5e-05,128,2,0.1,64,50,0.0,5
ETHUSDT,baseline,0.009183463640511036,0.07277242839336395,0.5041782729805014,0.009890751913189888,0.07599063962697983,0.5418994413407822,25,5e-05,128,2,0.1,64,50,0.0,5
ETHUSDT,regime,0.009110867977142334,0.07436735183000565,0.4986072423398329,0.009859942831099033,0.07504413276910782,0.5558659217877095,10,5e-05,128,2,0.1,32,35,0.0001,5
LINKUSDT,baseline,0.014469749294221401,0.09402435272932053,0.5069637883008357,0.013138054870069027,0.0904294103384018,0.5,15,5e-05,64,2,0.0,64,50,0.0001,5
LINKUSDT,regime,0.014307455159723759,0.09370005875825882,0.5459610027855153,0.013003909029066563,0.08957832306623459,0.553072625698324,10,5e-05,32,2,0.3,32,20,0.0001,5
LTCUSDT,baseline,0.009329584427177906,0.06967414915561676,0.6100278551532033,0.01309195812791586,0.09166751801967621,0.4553072625698324,15,0.0005,32,2,0.3,32,20,0.0,5
LTCUSDT,regime,0.009154830127954483,0.06839168816804886,0.6211699164345403,0.010100887157022953,0.07611165940761566,0.441340782122905,10,5e-05,32,2,0.3,32,20,0.0001,5
XRPUSDT,baseline,0.020107029005885124,0.09054707735776901,0.5153203342618384,0.02149362489581108,0.12065397202968597,0.553072625698324,10,5e-05,64,2,0.1,32,35,0.0001,5
XRPUSDT,regime,0.022991131991147995,0.10193362087011337,0.479108635097493,0.040677260607481,0.17454567551612854,0.553072625698324,25,5e-05,128,2,0.1,64,50,0.0,5
