asset,feature_set,model_type,n_features,feature_names,val_mse,val_mae,val_da,test_mse,test_mae,test_da,best_seq_len,best_learning_rate,best_hidden_size,best_num_layers,best_dropout,best_batch_size,best_epochs,best_weight_decay,best_patience
ADAUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.016023041680455208,0.09312500804662704,0.5626740947075209,0.014552603475749493,0.09378507733345032,0.5139664804469274,15,0.0001,32,2,0.1,32,35,0.0,5
ADAUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.016210317611694336,0.09364693611860275,0.5403899721448467,0.01515003852546215,0.0959123969078064,0.4664804469273743,15,0.0001,32,2,0.2,64,20,1e-05,5
BCHUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.01690702885389328,0.09525109827518463,0.49025069637883006,0.0074788667261600494,0.06789016723632812,0.5195530726256983,25,0.0001,64,1,0.1,64,50,0.0001,5
BCHUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.015703663229942322,0.09183073043823242,0.5097493036211699,0.007694721221923828,0.06869462132453918,0.5083798882681564,30,0.001,32,1,0.3,32,20,0.0,5
BNBUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.011695022694766521,0.08990229666233063,0.5041782729805014,0.007277867756783962,0.06256103515625,0.5167597765363129,25,0.0001,64,1,0.1,64,50,0.0001,5
BNBUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.014334401115775108,0.09566605091094971,0.5431754874651811,0.008711669594049454,0.06416355818510056,0.5363128491620112,10,0.0005,64,2,0.3,64,20,1e-05,5
BTCUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.009536530822515488,0.07817111164331436,0.4596100278551532,0.00266214064322412,0.039538174867630005,0.5391061452513967,15,0.0005,32,1,0.3,64,20,0.0,5
BTCUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.007046584039926529,0.06588559597730637,0.4401114206128134,0.002653626725077629,0.03994147479534149,0.4972067039106145,15,0.0001,32,2,0.2,64,20,1e-05,5
ETHUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.008491183631122112,0.07040171325206757,0.5766016713091922,0.010028576478362083,0.07588426023721695,0.5363128491620112,30,0.0001,32,1,0.1,32,50,0.0001,5
ETHUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.00841886829584837,0.0701674148440361,0.5487465181058496,0.009214271791279316,0.07307111471891403,0.5670391061452514,25,0.0001,32,2,0.0,64,35,1e-05,5
LINKUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.014819229952991009,0.09485247731208801,0.5292479108635098,0.013814876787364483,0.09290546178817749,0.44692737430167595,25,0.001,64,2,0.1,64,50,0.0001,5
LINKUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.01429307647049427,0.09322746098041534,0.5793871866295265,0.012839133851230145,0.08955484628677368,0.505586592178771,10,0.0001,64,2,0.3,64,20,0.0,5
LTCUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.009616673924028873,0.07103651762008667,0.520891364902507,0.009507359936833382,0.07513730973005295,0.5363128491620112,10,0.001,64,2,0.1,64,20,1e-05,5
LTCUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.011651167646050453,0.07962861657142639,0.479108635097493,0.009519738145172596,0.07633741945028305,0.5614525139664804,30,0.0005,128,2,0.3,32,35,0.0,5
XRPUSDT,ref_paper_set,baseline,4,sma|ema|momentum|cci,0.024128764867782593,0.09339086711406708,0.5153203342618384,0.027273086830973625,0.1397712379693985,0.5614525139664804,15,0.0005,32,2,0.0,32,35,0.0001,5
XRPUSDT,ref_paper_set,regime,5,sma|ema|momentum|cci|regime_label,0.01902163214981556,0.08522595465183258,0.5041782729805014,0.01402189303189516,0.0924774780869484,0.5335195530726257,15,0.0001,32,2,0.2,64,20,1e-05,5
